date,ticker,price
6/30/10,DJI,9774.019531
07/01/2010,DJI,9732.530273
07/02/2010,DJI,9686.480469
07/06/2010,DJI,9743.620117
07/07/2010,DJI,10018.28027
07/08/2010,DJI,10138.99023
07/09/2010,DJI,10198.03027
07/12/2010,DJI,10216.26953
7/13/10,DJI,10363.01953
7/14/10,DJI,10366.71973
7/15/10,DJI,10359.30957
7/16/10,DJI,10097.90039
7/19/10,DJI,10154.42969
7/20/10,DJI,10229.95996
7/21/10,DJI,10120.53027
7/22/10,DJI,10322.29981
7/23/10,DJI,10424.62012
7/26/10,DJI,10525.42969
7/27/10,DJI,10537.69043
7/28/10,DJI,10497.87988
7/29/10,DJI,10467.16016
7/30/10,DJI,10465.94043
08/02/2010,DJI,10674.37988
08/03/2010,DJI,10636.37988
08/04/2010,DJI,10680.42969
08/05/2010,DJI,10674.98047
08/06/2010,DJI,10653.55957
08/09/2010,DJI,10698.75
08/10/2010,DJI,10644.25
08/11/2010,DJI,10378.83008
08/12/2010,DJI,10319.9502
8/13/10,DJI,10303.15039
8/16/10,DJI,10302.00977
8/17/10,DJI,10405.84961
8/18/10,DJI,10415.54004
8/19/10,DJI,10271.20996
8/20/10,DJI,10213.62012
8/23/10,DJI,10174.41016
8/24/10,DJI,10040.4502
8/25/10,DJI,10060.05957
8/26/10,DJI,9985.80957
8/27/10,DJI,10150.65039
8/30/10,DJI,10009.73047
8/31/10,DJI,10014.71973
09/01/2010,DJI,10269.46973
09/02/2010,DJI,10320.09961
09/03/2010,DJI,10447.92969
09/07/2010,DJI,10340.69043
09/08/2010,DJI,10387.00977
09/09/2010,DJI,10415.24023
09/10/2010,DJI,10462.76953
9/13/10,DJI,10544.12988
9/14/10,DJI,10526.49023
9/15/10,DJI,10572.73047
9/16/10,DJI,10594.83008
9/17/10,DJI,10607.84961
9/20/10,DJI,10753.62012
9/21/10,DJI,10761.03027
9/22/10,DJI,10739.30957
9/23/10,DJI,10662.41992
9/24/10,DJI,10860.25977
9/27/10,DJI,10812.04004
9/28/10,DJI,10858.13965
9/29/10,DJI,10835.28027
9/30/10,DJI,10788.04981
10/01/2010,DJI,10829.67969
10/04/2010,DJI,10751.26953
10/05/2010,DJI,10944.71973
10/06/2010,DJI,10967.65039
10/07/2010,DJI,10948.58008
10/08/2010,DJI,11006.48047
10/11/2010,DJI,11010.33984
10/12/2010,DJI,11020.40039
10/13/10,DJI,11096.08008
10/14/10,DJI,11094.57031
10/15/10,DJI,11062.78027
10/18/10,DJI,11143.69043
10/19/10,DJI,10978.62012
10/20/10,DJI,11107.96973
10/21/10,DJI,11146.57031
10/22/10,DJI,11132.55957
10/25/10,DJI,11164.04981
10/26/10,DJI,11169.45996
10/27/10,DJI,11126.28027
10/28/10,DJI,11113.9502
10/29/10,DJI,11118.49023
11/01/2010,DJI,11124.62012
11/02/2010,DJI,11188.71973
11/03/2010,DJI,11215.12988
11/04/2010,DJI,11434.83984
11/05/2010,DJI,11444.08008
11/08/2010,DJI,11406.83984
11/09/2010,DJI,11346.75
11/10/2010,DJI,11357.04004
11/11/2010,DJI,11283.09961
11/12/2010,DJI,11192.58008
11/15/10,DJI,11201.96973
11/16/10,DJI,11023.5
11/17/10,DJI,11007.87988
11/18/10,DJI,11181.23047
11/19/10,DJI,11203.54981
11/22/10,DJI,11178.58008
11/23/10,DJI,11036.37012
11/24/10,DJI,11187.28027
11/26/10,DJI,11091.87012
11/29/10,DJI,11052.49023
11/30/10,DJI,11006.01953
12/01/2010,DJI,11255.78027
12/02/2010,DJI,11362.41016
12/03/2010,DJI,11382.08984
12/06/2010,DJI,11362.19043
12/07/2010,DJI,11359.16016
12/08/2010,DJI,11372.48047
12/09/2010,DJI,11370.05957
12/10/2010,DJI,11410.32031
12/13/10,DJI,11428.55957
12/14/10,DJI,11476.54004
12/15/10,DJI,11457.46973
12/16/10,DJI,11499.25
12/17/10,DJI,11491.91016
12/20/10,DJI,11478.12988
12/21/10,DJI,11533.16016
12/22/10,DJI,11559.49023
12/23/10,DJI,11573.49023
12/27/10,DJI,11555.03027
12/28/10,DJI,11575.54004
12/29/10,DJI,11585.37988
12/30/10,DJI,11569.70996
12/31/10,DJI,11577.50977
01/03/2011,DJI,11670.75
01/04/2011,DJI,11691.17969
01/05/2011,DJI,11722.88965
01/06/2011,DJI,11697.30957
01/07/2011,DJI,11674.75977
01/10/2011,DJI,11637.4502
01/11/2011,DJI,11671.87988
01/12/2011,DJI,11755.44043
1/13/11,DJI,11731.90039
1/14/11,DJI,11787.37988
1/18/11,DJI,11837.92969
1/19/11,DJI,11825.29004
1/20/11,DJI,11822.79981
1/21/11,DJI,11871.83984
1/24/11,DJI,11980.51953
1/25/11,DJI,11977.19043
1/26/11,DJI,11985.44043
1/27/11,DJI,11989.83008
1/28/11,DJI,11823.7002
1/31/11,DJI,11891.92969
02/01/2011,DJI,12040.16016
02/02/2011,DJI,12041.96973
02/03/2011,DJI,12062.25977
02/04/2011,DJI,12092.15039
02/07/2011,DJI,12161.62988
02/08/2011,DJI,12233.15039
02/09/2011,DJI,12239.88965
02/10/2011,DJI,12229.29004
02/11/2011,DJI,12273.25977
2/14/11,DJI,12268.19043
2/15/11,DJI,12226.63965
2/16/11,DJI,12288.16992
2/17/11,DJI,12318.13965
2/18/11,DJI,12391.25
2/22/11,DJI,12212.79004
